,Date,Country,WHO_Region,New_Cases,Cumulative_Cases,New_Deaths,Cumulative_Deaths
0,2020-01,Afghanistan,EMRO,0,0,0,0
1,2020-02,Afghanistan,EMRO,5,30,0,0
2,2020-03,Afghanistan,EMRO,161,1135,4,21
3,2020-04,Afghanistan,EMRO,1661,25152,56,812
4,2020-05,Afghanistan,EMRO,13353,222720,194,4924
5,2020-06,Afghanistan,EMRO,16265,751685,485,14982
6,2020-07,Afghanistan,EMRO,5183,1079412,536,33439
7,2020-08,Afghanistan,EMRO,1620,1165099,131,42108
8,2020-09,Afghanistan,EMRO,1106,1166401,56,43060
9,2020-10,Afghanistan,EMRO,1980,1246695,71,46274
10,2020-11,Afghanistan,EMRO,4881,1303865,230,48777
11,2020-12,Afghanistan,EMRO,6115,1539551,426,62050
12,2021-01,Afghanistan,EMRO,2693,1671259,211,71891
13,2021-02,Afghanistan,EMRO,691,1553102,43,67864
14,2021-03,Afghanistan,EMRO,740,1737068,41,76227
15,2021-04,Afghanistan,EMRO,3291,1733260,141,76300
16,2021-05,Afghanistan,EMRO,12093,1991950,319,85386
17,2021-06,Afghanistan,EMRO,46821,2848717,1927,114208
18,2021-07,Afghanistan,EMRO,28495,4241348,1837,184478
19,2021-08,Afghanistan,EMRO,6066,4696019,410,216817
20,2021-09,Afghanistan,EMRO,1832,4627372,86,215207
21,2021-10,Afghanistan,EMRO,1036,4822713,68,224375
22,2021-11,Afghanistan,EMRO,1172,4699256,36,218843
23,2021-12,Afghanistan,EMRO,400,2520276,21,117097
24,2020-01,Albania,EURO,0,0,0,0
25,2020-02,Albania,EURO,0,0,0,0
26,2020-03,Albania,EURO,205,1476,12,73
27,2020-04,Albania,EURO,530,14210,18,683
28,2020-05,Albania,EURO,363,27597,2,944
29,2020-06,Albania,EURO,1437,50672,30,1215
30,2020-07,Albania,EURO,2662,118290,92,3252
31,2020-08,Albania,EURO,4183,226041,126,6818
32,2020-09,Albania,EURO,4138,346012,104,10183
33,2020-10,Albania,EURO,7116,515858,118,13609
34,2020-11,Albania,EURO,16991,848941,296,18938
35,2020-12,Albania,EURO,20102,1520375,376,31486
36,2021-01,Albania,EURO,19524,2068759,195,39286
37,2021-02,Albania,EURO,28964,2581735,406,43621
38,2021-03,Albania,EURO,18508,3634197,452,63371
39,2021-04,Albania,EURO,6254,3859732,162,69728
40,2021-05,Albania,EURO,1332,4087926,61,75210
41,2021-06,Albania,EURO,205,3973341,6,73600
42,2021-07,Albania,EURO,522,4113402,1,76139
43,2021-08,Albania,EURO,12297,4249567,38,76545
44,2021-09,Albania,EURO,24129,4761160,190,76986
45,2021-10,Albania,EURO,15425,5496629,231,86980
46,2021-11,Albania,EURO,14863,5787816,176,90094
47,2021-12,Albania,EURO,5178,3442942,64,53107
48,2020-01,Algeria,AFRO,0,0,0,0
49,2020-02,Algeria,AFRO,5,25,0,0
50,2020-03,Algeria,AFRO,506,3925,31,268
51,2020-04,Algeria,AFRO,3337,66006,413,8758
52,2020-05,Algeria,AFRO,5419,206007,202,16698
53,2020-06,Algeria,AFRO,4304,333306,259,23341
54,2020-07,Algeria,AFRO,16260,657194,295,32412
55,2020-08,Algeria,AFRO,14315,1170203,301,42089
56,2020-09,Algeria,AFRO,7222,1450828,225,48730
57,2020-10,Algeria,AFRO,5964,1674170,223,56891
58,2020-11,Algeria,AFRO,23880,2037777,444,64563
59,2020-12,Algeria,AFRO,18099,2866995,358,80889
60,2021-01,Algeria,AFRO,7811,3202506,137,87586
61,2021-02,Algeria,AFRO,5838,3091184,91,82213
62,2021-03,Algeria,AFRO,4101,3573660,110,94200
63,2021-04,Algeria,AFRO,4805,3576324,155,94530
64,2021-05,Algeria,AFRO,6859,3883598,221,104332
65,2021-06,Algeria,AFRO,10504,4020183,243,107650
66,2021-07,Algeria,AFRO,29439,4699944,481,121320
67,2021-08,Algeria,AFRO,26906,5762376,1051,147970
68,2021-09,Algeria,AFRO,7624,6007744,565,167739
69,2021-10,Algeria,AFRO,3160,6355136,113,181805
70,2021-11,Algeria,AFRO,3986,6245285,146,179630
71,2021-12,Algeria,AFRO,3401,3605403,107,104047
72,2020-01,American Samoa,WPRO,0,0,0,0
73,2020-02,American Samoa,WPRO,0,0,0,0
74,2020-03,American Samoa,WPRO,0,0,0,0
75,2020-04,American Samoa,WPRO,0,0,0,0
76,2020-05,American Samoa,WPRO,0,0,0,0
77,2020-06,American Samoa,WPRO,0,0,0,0
78,2020-07,American Samoa,WPRO,0,0,0,0
79,2020-08,American Samoa,WPRO,0,0,0,0
80,2020-09,American Samoa,WPRO,0,0,0,0
81,2020-10,American Samoa,WPRO,0,0,0,0
82,2020-11,American Samoa,WPRO,0,0,0,0
83,2020-12,American Samoa,WPRO,0,0,0,0
84,2021-01,American Samoa,WPRO,0,0,0,0
85,2021-02,American Samoa,WPRO,0,0,0,0
86,2021-03,American Samoa,WPRO,0,0,0,0
87,2021-04,American Samoa,WPRO,0,0,0,0
88,2021-05,American Samoa,WPRO,0,0,0,0
89,2021-06,American Samoa,WPRO,0,0,0,0
90,2021-07,American Samoa,WPRO,0,0,0,0
91,2021-08,American Samoa,WPRO,0,0,0,0
92,2021-09,American Samoa,WPRO,1,12,0,0
93,2021-10,American Samoa,WPRO,3,96,0,0
94,2021-11,American Samoa,WPRO,6,143,0,0
95,2021-12,American Samoa,WPRO,0,170,0,0
96,2020-01,Andorra,EURO,0,0,0,0
97,2020-02,Andorra,EURO,0,0,0,0
98,2020-03,Andorra,EURO,376,2851,12,42
99,2020-04,Andorra,EURO,368,18891,30,893
100,2020-05,Andorra,EURO,20,23493,9,1510
101,2020-06,Andorra,EURO,91,25420,1,1544
102,2020-07,Andorra,EURO,67,27115,0,1612
103,2020-08,Andorra,EURO,202,31215,1,1631
104,2020-09,Andorra,EURO,842,44410,0,1590
105,2020-10,Andorra,EURO,2699,100361,22,1873
106,2020-11,Andorra,EURO,2047,172918,1,2265
107,2020-12,Andorra,EURO,1271,228843,8,2470
108,2021-01,Andorra,EURO,1902,277452,17,2790
109,2021-02,Andorra,EURO,964,292483,9,2977
110,2021-03,Andorra,EURO,1095,351329,5,3494
111,2021-04,Andorra,EURO,1254,379411,10,3628
112,2021-05,Andorra,EURO,495,418514,2,3933
113,2021-06,Andorra,EURO,207,414603,0,3810
114,2021-07,Andorra,EURO,778,441609,1,3938
115,2021-08,Andorra,EURO,354,462240,2,3997
116,2021-09,Andorra,EURO,177,453300,0,3900
117,2021-10,Andorra,EURO,307,475700,0,4030
118,2021-11,Andorra,EURO,1599,480024,1,3906
119,2021-12,Andorra,EURO,3434,320940,3,2257
120,2020-01,Angola,AFRO,0,0,0,0
121,2020-02,Angola,AFRO,0,0,0,0
122,2020-03,Angola,AFRO,7,27,1,1
123,2020-04,Angola,AFRO,20,570,1,60
124,2020-05,Angola,AFRO,57,1578,2,81
125,2020-06,Angola,AFRO,192,4434,7,199
126,2020-07,Angola,AFRO,833,19296,40,880
127,2020-08,Angola,AFRO,1515,57564,56,2570
128,2020-09,Angola,AFRO,2281,109025,72,4189
129,2020-10,Angola,AFRO,5653,227427,100,7179
130,2020-11,Angola,AFRO,4545,400087,67,9572
131,2020-12,Angola,AFRO,2268,505431,53,11618
132,2021-01,Angola,AFRO,2411,577893,65,13415
133,2021-02,Angola,AFRO,1000,568497,42,13653
134,2021-03,Angola,AFRO,1400,664748,30,16166
135,2021-04,Angola,AFRO,4249,721730,58,16792
136,2021-05,Angola,AFRO,7935,940308,170,20809
137,2021-06,Angola,AFRO,4316,1105482,130,25075
138,2021-07,Angola,AFRO,3964,1257040,114,29481
139,2021-08,Angola,AFRO,4685,1389714,202,34157
140,2021-09,Angola,AFRO,9252,1541954,327,40927
141,2021-10,Angola,AFRO,7791,1921940,171,51066
142,2021-11,Angola,AFRO,781,1945898,25,51758
143,2021-12,Angola,AFRO,411,1110755,4,29508
144,2020-01,Anguilla,AMRO,0,0,0,0
145,2020-02,Anguilla,AMRO,0,0,0,0
146,2020-03,Anguilla,AMRO,2,12,0,0
147,2020-04,Anguilla,AMRO,1,86,0,0
148,2020-05,Anguilla,AMRO,0,93,0,0
149,2020-06,Anguilla,AMRO,0,90,0,0
150,2020-07,Anguilla,AMRO,0,93,0,0
151,2020-08,Anguilla,AMRO,0,93,0,0
152,2020-09,Anguilla,AMRO,0,90,0,0
153,2020-10,Anguilla,AMRO,0,93,0,0
154,2020-11,Anguilla,AMRO,3,100,0,0
155,2020-12,Anguilla,AMRO,7,300,0,0
156,2021-01,Anguilla,AMRO,4,469,0,0
157,2021-02,Anguilla,AMRO,1,495,0,0
158,2021-03,Anguilla,AMRO,7,642,0,0
159,2021-04,Anguilla,AMRO,66,1116,0,0
160,2021-05,Anguilla,AMRO,18,3233,0,0
161,2021-06,Anguilla,AMRO,0,3270,0,0
162,2021-07,Anguilla,AMRO,5,3466,0,0
163,2021-08,Anguilla,AMRO,103,4414,0,0
164,2021-09,Anguilla,AMRO,172,9526,1,9
165,2021-10,Anguilla,AMRO,503,19949,0,31
166,2021-11,Anguilla,AMRO,442,34460,2,68
167,2021-12,Anguilla,AMRO,258,25117,1,61
168,2020-01,Antigua and Barbuda,AMRO,0,0,0,0
169,2020-02,Antigua and Barbuda,AMRO,0,0,0,0
170,2020-03,Antigua and Barbuda,AMRO,7,95,0,0
171,2020-04,Antigua and Barbuda,AMRO,17,570,3,55
172,2020-05,Antigua and Barbuda,AMRO,1,772,0,93
173,2020-06,Antigua and Barbuda,AMRO,40,845,0,90
174,2020-07,Antigua and Barbuda,AMRO,26,2317,0,93
175,2020-08,Antigua and Barbuda,AMRO,3,2877,0,93
176,2020-09,Antigua and Barbuda,AMRO,7,2878,0,90
177,2020-10,Antigua and Barbuda,AMRO,26,3547,0,93
178,2020-11,Antigua and Barbuda,AMRO,14,4029,1,106
179,2020-12,Antigua and Barbuda,AMRO,17,4627,1,141
180,2021-01,Antigua and Barbuda,AMRO,60,5656,2,173
